1;Das Motto;Wahrheit sag ich euch, Wahrheit und immer Wahrheit, versteht sich:"|"Meine Wahrheit,;denn sonst ist mir auch keine bekannt.
16;Grabschrift;Als Knabe verschlossen und trutzig,"|"Als Jüngling anmaßlich und stutzig,"|"Als Mann zu Taten willig,"|"Als Greis leichtsinnig und grillig!;Auf deinem Grabstein wird man lesen:"|"Das ist fürwahr ein Mensch gewesen!
17;Ballade;Ach! denkt das Veilchen, "wär ich nur"|"Die schönste Blume der Natur,"|"Ach, nur ein kleines Weilchen,;Bis mich das Liebchen abgepflückt"|"Und an dem Busen matt gedrückt!"
18;Ballade;Ein Veilchen auf der Wiese stand"|"Gebückt in sich und unbekannt"|"Es war ein herzigs Veilchen.;Da kam eine junge Schäferin,"|"Mit leichtem Schritt und munterm Sinn,"|"Daher, daher,"|"Die Wiese her, und sang.
19;Ballade;Ich singe, wie der Vogel singt,"|"Der in den Zweigen wohnet,;Das Lied, das aus der Kehle dringt,"|"Ist Lohn, der reichlich lohnet.
20;Aphorismus;Alles Vergängliche"|"ist nur ein Gleichnis,"|"das Unzulängliche"|"hier wirds Ereignis,;das Unbeschreibliche,"|"hier ists getan,"|"das Ewigweibliche"|"zieht uns hinan.
21;Lebensregel;Willst du dir ein hübsch Leben zimmern,"|"Musst dich ums Vergangne nicht bekümmern,;Das Wenigste muss dich verdrießen."|"Musst stets die Gegenwart genießen,"|"Besonders keinen Menschen hassen"|"Und die Zukunft Gott überlassen.
22;Gedicht;Es schlug mein Herz. Geschwind, zu Pferde!"|"Und fort, wild wie ein Held zur Schlacht.;Der Abend wiegte schon die Erde,"|"Und an den Bergen hing die Nacht.
23;Gedichte;Gedichte sind gemalte Fensterscheiben!"|"Sieht man vom Markt in die Kirche hinein,"|"Da ist alles dunkel und düster,"|"Und so siehts auch der Herr Philister:;Der mag denn wohl verdrießlich sein"|"Und lebenslang verdrießlich bleiben.?"|"Kommt aber nur einmal herein,"|"Begrüßt die heilige Kapelle"|"Da ists auf einmal farbig helle,"|"Geschicht und Zierat glänzt in Schnelle,"|"Bedeutend wirkt ein edler Schein.
24;Aphorismus;Wo viel Licht ist, ist starker Schatten."|"Denn Beschränkung ist überall unser Los.;Der Mensch ist ein beschränktes Wesen, unsere Beschränkung zu überdenken, ist der Sonntag gewidmet.
25;Aphorismus;dass ich erkenne, was die Welt Im Innersten zusammenhält.;Der Scharfsinn verlässt geistreiche Männer am wenigsten, wenn sie unrecht haben.
26;Aphorismus;Die Sorge geziemt dem Alter, damit die Jugend eine zeitlang sorglos sein könne.;Die geistlichen Herren haben immer die schmackhaftesten, die süßesten Besitztümer.
27;Aphorismus;Je näher wir der Natur sind, desto näher fühlen wir uns der Gottheit.;Die Hoffnung hilft uns leben.
28;Nett und niedlich;Hast du das Mädchen gesehn"|"Flüchtig vorübergehn?"|"Wollt, sie wär meine Braut!"|"Jawohl! die Blonde, die Falbe!"|"Sie fitticht so zierlich wie die Schwalbe,"|"Die ihr Nest baut.;Du bist mein und bist so zierlich,"|"Du bist mein und so manierlich,"|"Aber etwas fehlt dir noch:"|"Küssest mit so spitzen Lippen,"|"Wie die Tauben Wasser nippen"|"Allzu zierlich bist du doch.
29;Faust;Dummes Zeug kann man viel reden"|"Kann es auch schreiben."|"Wird weder Leib noch Seele töten."|"Es wird alles beim Alten bleiben.;Dummes aber vors Auge gestellt"|"Hat ein magisches Recht."|"Weil es die Sinne gefesselt hält,"|"bleibt der Geist ein Knecht.
30;Wissenschaft;Einem ist sie die hohe, die himmlische Göttin, dem andern"|"Eine tüchtige Kuh, die ihn mit Butter versorgt.;Eine große Epoche hat das Jahrhundert geboren,"|"Aber der große Moment findet ein kleines Geschlecht.
31;Nativität;Der Deutsche ist gelehrt,"|"Wenn er sein Deutsch versteht"|"Doch bleib ihm unverwehrt,"|"Wenn er nach außen geht.;Er komme dann zurück,"|"Gewiss um viel gelehrter"|"Doch ists ein großes Glück,"|"Wenn nicht um viel verkehrter.
32;Ballade;Es war ein König in Thule"|"Gar treu bis an das Grab,"|"Dem sterbend seine Buhle"|"Einen goldnen Becher gab.;Es ging ihm nichts darüber,"|"Er leert ihn jeden Schmaus,"|"Die Augen gingen ihm über,"|"Sooft er trank daraus.
33;Klarheit;In dem jungen Lebenslauf"|"Wars ein Käthchen."|"Welche jetzt den Tag versüßt?"|"Sags mit Klarheit."|"Seht nur hin, wie sie mich grüßt.;Es ist die Wahrheit!?
34;Aphorismus;Auch aus Steinen, die einem in den Weg gelegt werden, kann man Schönes bauen.;Es ist nicht genug zu wissen - man muss auch anwenden. Es ist nicht genug zu wollen - man muss auch tun.
35;Ballade;Ach! aber ach! das Mädchen kam"|"Und nicht in acht das Veilchen nahm,"|"Ertrat das arme Veilchen.;Es sank und starb und freut sich noch:"|""Und sterb ich denn, so sterb ich doch"|"Durch sie, durch sie,"|"Zu ihren Füßen doch."
36;Aphorismus;Ich kehre in mich selbst zurück und finde eine Welt!;Fast alles ist leichter begonnen als beendet.
37;Stoßseufzer;Ach, man sparte viel,"|"Seltner wäre verruckt das Ziel,"|"Wär weniger Dumpfheit, vergebenes Sehnen,"|"Ich könnte viel glücklicher sein -,;Gäbs nur keinen Wein"|"Und keine Weibertränen!
38;Das Beste;Wenn dirs in Kopf und Herzen schwirrt,"|"Was willst du Bessres haben!"|"Wer nicht mehr liebt und nicht mehr irrt,"|"Der lasse sich begraben!;Glücklich, den ein leerer Traum beschäftigt!"|"Glücklich, dem die Ahndung eitel wär!"|"Jede Gegenwart und jeder Blick bekräftigt"|"Traum und Ahndung leider uns noch mehr.
39;Aphorismus;Man kann auf dem rechten Weg irren und auf dem falschen recht gehen.;Ich glaube, der Mensch träumt nur, damit er nicht aufhöre zu sehen.
40;Aphorismus;Ich habe mich so lange ums Allgemeine bemüht, bis ich einsehen lernte, was vorzügliche Menschen im Besondern leisten.;Ich hasse die Leute, die für nichts Bewunderung empfinden"|"ich habe Zeit meines Lebens immer alles bewundert.
41;Rechtsfrage;Jahrelang schon bedien ich mich meiner Nase zum Riechen,"|"Hab ich denn wirklich an sie auch ein erweisliches Recht?;Jambe nennt man das Tier mit einem kurzen und langen"|"Fuß, und so nennst du mit Recht Jamben das hinkende Werk.
42;Für Sie;In deinem Liede walten"|"Gar manche schöne Namen!"|"Sind mancherlei Gestalten,"|"Doch nur ein Rahmen.?"|"Nun aber die Schöne,"|"Die dich am Herzen hegte.;Jede kennt die Töne,"|"Die sie erregte.
43;Irrtum;Hundertmal werd ichs euch sagen und tausendmal: Irrtum ist Irrtum!"|"Ob ihn der größte Mann, ob ihn der kleinste beging.;Liegt der Irrtum nur erst, wie ein Grundstein, unten im Boden,"|"Immer baut man darauf, nimmermehr kommt er an Tag.
44;Den Guten;Lasst euch einen Gott begeisten,"|"Euch beschränket nur mein Sagen."|"Was ihr könnt, ihr werdets leisten,"|"Aber müsst mich nur nicht fragen.;Lies uns nach Laune, nach Lust, in trüben, in fröhlichen Stunden,"|"Wie uns der gute Geist, wie uns der böse gezeugt.
45;Aphorismus;Und so gewohnt, für andere zu leben,"|"schien Mühe nur ihm Fröhlichkeit zu geben.;Man muss immerfort verändern, erneuern, verjüngen, um nicht zu verstocken.
46;Aphorismus;Jeder Zustand hat seine Beschwerlichkeit, der beschränkte sowohl als der losgebundene.;Mir kommt kein Besitz ganz rechtmäßig, ganz rein vor, als der dem Staate seinen schuldigen Teil abträgt.
47;Aphorismus;Niemand versteht zur rechten Zeit! Wenn man zur rechten Zeit verstünde, so wäre die Wahrheit nah und breit und wäre lieblich und gelinde.;Niemand weiß, wie lang er es hat, was er ruhig besitzet.
48;Genug;Immer niedlich, immer heiter,"|"Immer lieblich! und so weiter,"|"Stets natürlich, aber klug,;Nun, das, dächt ich, wär genug.
49;Aphorismus;Wer das Geld bringt, kann die Ware nach seinem Sinn verlangen.;Nur durch Eifersucht auf den Besitz erhält man die Besitztümer.
50;Goldnes Zeitalter;Ob die Menschen im ganzen sich bessern"|" Ich glaub es, denn einzeln"|"Suche man, wie man auch will, sieht man doch gar nichts davon.;Sag, was will das Schicksal uns bereiten?"|"Sag, wie band es uns so rein genau?"|"Ach, du warst in abgelebten Zeiten"|"meine Schwester oder meine Frau.
51;Der Purist;Sinnreich bist du, die Sprache von fremden Wörtern zu säubern,"|"Nun so sage doch, Freund, wie man Pedant uns verdeutscht.;Setze nur immer Mottos auf deine Journale, sie zeigen"|"Alle die Tugenden an, die man an dir nicht bemerkt.
52;Aphorismus;Sich auf ein Handwerk zu beschränken, ist das Beste.;Sich in seiner Beschränktheit gefallen, ist ein elender Zustand, in Gegenwart des Besten seine Beschränktheit fühlen, ist freilich ängstlich, aber...
53;J-b;Steil wohl ist er, der Weg zur Wahrheit, und schlüpfrig zu steigen,"|"Aber wir legen ihn doch nicht gern auf Eseln zurück.;Töchtern edler Geburt ist dieses Werk zu empfehlen,"|"Um zu Töchtern der Lust schnell sich befördert zu sehn.
54;Aphorismus;Um einen Gegenstand ganz zu besitzen, zu beherrschen, muss man ihn um seiner selbst willen studieren.;Um zu begreifen, dass der Himmel überall blau ist, braucht man nicht um die Welt zu reisen.
55;;Und wir scheinen uns nur halb beseelet,"|"dämmernd ist um uns der hellste Tag."|"Glücklich, dass das Schicksal, das uns quälet,"|"uns doch nicht verändern mag!;Und von allem dem schwebt ein Erinnern"|"nur noch um das ungewisse Herz,"|"fühlt die alte Wahrheit ewig gleich im Innern,"|"und der neue Zustand wird ihm Schmerz.
56;Elegisch;Der Undank ist immer eine Art Schwäche. Ich habe nie gesehen, dass tüchtige Menschen undankbar gewesen wären.;Und wenn der Mensch in seiner Qual verstummt,"|"Gab mir ein Gott zu sagen, was ich leide.
57;Ballade;Du kannst zwar heut"|"Und manche Zeit"|"Dem Feinde viel erlauben."|"Die Flamme reinigt sich vom Rauch:"|"So reinig unsern Glauben!;Verteilt euch, wackre Männer, hier"|"Durch dieses ganze Waldrevier,"|"Und wachet hier im stillen,"|"Wenn sie die Pflicht erfüllen.
58;Rätsel;Ein Werkzeug ist es, alle Tage nötig,"|"Den Männern weniger, den Frauen viel,"|"Zum treusten Dienste gar gelind erbötig,"|"Im einen vielfach, spitz und scharf."|"Sein Spiel gern wiederholt, wobei wir uns "|"bescheiden:;Von außen glatt, wenn wir von innen leiden."|"Doch Spiel und Schmuck erquickt uns nur aufs neue,"|"Erteilte Lieb ihm erst gerechte Weihe.
59;Der Prophet;Schade, dass die Natur nur Einen Menschen aus dir schuf,"|"Denn zum würdigen Mann war und zum Schelmen der Stoff.;Vorn herein liest sich das Lied nicht zum besten, ich les es von hinten,"|"Strophe für Strophe, und so nimmt es ganz artig sich aus.
60;;Warum gabst du uns die tiefen Blicke,"|"unsre Zukunft ahndungsvoll zu schaun,"|"unsrer Liebe, unsrem Erdenglücke"|"wähnend selig nimmer hinzutraun.;Warum gabst uns, Schicksal, die Gefühle,"|"uns einander in das Herz zu sehn,"|"um durch all die seltenen Gewühle"|"unser wahr Verhältnis auszuspähn.
61;Das Deutsche Reich;Deutschland"|" aber wo liegt es"|" Ich weiß das Land nicht zu finden,"|"Wo das gelehrte beginnt, hört das politische auf.;Was das entsetzlichste sei von allen entsetzlichen Dingen?"|"Ein Pedant, den es jückt, locker und lose zu sein.
62;Aphorismus;Unschuldige Liebe erfreut die Gottheit, statt sie zu beleidigen.;Was man nicht versteht, besitzt man nicht.
63;Vielrat;Spricht man mit jedermann,"|"Da hört man keinen,"|"Stets wird ein andrer Mann"|"Auch anders meinen.;Was wäre Rat sodann"|"Vor unsern Ohren?"|"Kennst du nicht Mann für Mann,"|"Du bist verloren.
64;Ballade;Gegrüßet seid mir, edle Herrn,"|"Gegrüßt ihr, schöne Damen!;Welch reicher Himmel! Stern bei Stern!"|"Wer kennet ihre Namen"|"
65;Ins Einzelne;Seit vielen Jahren hab ich still"|"Zu eurem Tun geschwiegen,"|"Das sich am Tag und Tageswill"|"Gefällig mag vergnügen.?"|"Ihr denkt, woher der Wind auch weht"|"Zu Schaden und Gewinne,;Wenn es nach eurem Sinne geht,"|"Es ging nach einem Sinne."|"Du segelst her, der andre hin,"|"Die Woge zu erproben,"|"Und was erst eine Flotte schien,"|"Ist ganz und gar zerstoben.
66;Faust;Da steh ich nun, ich armer Tor, und bin so klug als wie zuvor.;Werd ich zum Augenblicke sagen: Verweile doch, du bist so schön.
67;Aphorismus;Willst du dich am Ganzen erquicken,"|"so musst du das Ganze im kleinen erblicken.;Willst du ins Unendliche schreiten,"|"Geh nur im Endlichen nach allen Seiten.
68;Aphorismus;Und solang du das nicht hast,"|"dieses Stirb und Werde,"|"bist du ein trüber Gast,"|"auf der dunklen Erde.;Willst du nach den Früchten greifen,"|" Eilig nimm dein Teil davon!"|" Diese fangen an zu reifen,"|" Und die andern keimen schon.
69;Aphorismus;Mit dem Wissen wächst der Zweifel.;Wir erschrecken über unsere eigenen Sünden, wenn wir sie an anderen erblicken.
70;Die Mitarbeiter;Wie sie Glieder verrenken, die Armen! Aber nach dieser"|"Pfeife zu tanzen, es ist auch beim Apollo! kein Spaß.;Wird der Poet nur geboren"|" Der Philosoph wirds nicht minder,"|"Alle Wahrheit zuletzt wird nur gebildet, geschaut.
71;Widerwärtiges;Dichter und Liebende schenken sich selbst, doch Speise voll Ekel!"|"Dringt die gemeine Natur sich zum Genusse dir auf!;Wo Parteien entstehn, hält jeder sich hüben und drüben,"|"Viele Jahre vergehn, eh sie die Mitte vereint.
72;Aphorismus;Ich kann niemandem verdenken, dass er sich für seinen eigenen Nächsten hält.;Wo wir trinken, wo wir lieben, da ist reiche, freie Welt.
73;Der Teleolog;Welche Verehrung verdient der Weltenschöpfer, der gnädig"|"Als er den Korkbaum schuf, gleich auch die Stöpsel erfand!;Wollt ihr zugleich den Kindern der Welt und den Frommen gefallen?"|"Malet die Wollust "|" nur malet den Teufel dazu.
74;Elegie;Wonniglich ists, die Geliebte verlangend im Arme zu halten,"|"Wenn ihr klopfendes Herz Liebe zuerst dir gesteht.;Wonniglicher, das Pochen des Neulebendigen fühlen,"|"Das in dem lieblichen Schoß immer sich nährend bewegt.
75;Faust;Es irrt der Mensch, solang er strebt.;Zwar weiß ich viel, doch möcht ich alles wissen.
76;Ballade;Ach! aber ach! das Mädchen kam"|"Und nicht in acht das Veilchen nahm,"|"Ertrat das arme Veilchen.;Es sank und starb und freut sich noch:"|""Und sterb ich denn, so sterb ich doch"|"Durch sie, durch sie,"|"Zu ihren Füßen doch."
77;Ballade;Ach! denkt das Veilchen, "wär ich nur"|"Die schönste Blume der Natur,"|"Ach, nur ein kleines Weilchen,;Bis mich das Liebchen abgepflückt"|"Und an dem Busen matt gedrückt!"
78;Stoßseufzer;Ach, man sparte viel,"|"Seltner wäre verruckt das Ziel,"|"Wär weniger Dumpfheit, vergebenes Sehnen,"|"Ich könnte viel glücklicher sein -,;Gäbs nur keinen Wein"|"Und keine Weibertränen!
79;Aphorismus;Alles Vergängliche"|"ist nur ein Gleichnis,"|"das Unzulängliche"|"hier wirds Ereignis,;das Unbeschreibliche,"|"hier ists getan,"|"das Ewigweibliche"|"zieht uns hinan.
80;Grabschrift;Als Knabe verschlossen und trutzig,"|"Als Jüngling anmaßlich und stutzig,"|"Als Mann zu Taten willig,"|"Als Greis leichtsinnig und grillig!;Auf deinem Grabstein wird man lesen:"|"Das ist fürwahr ein Mensch gewesen!
81;Der Sprachforscher;Anatomieren magst du die Sprache, doch nur ihr Kadaver,"|"Geist und Leben entschlüpft flüchtig dem groben Skalpell.;Alles an diesem Gedicht ist vollkommen, Sprache, Gedanke,"|"Rhythmus, das einzige nur fehlt noch, es ist kein Gedicht.
82;Aphorismus;Auch aus Steinen, die einem in den Weg gelegt werden, kann man Schönes bauen.;Es ist nicht genug zu wissen - man muss auch anwenden. Es ist nicht genug zu wollen - man muss auch tun.
83;Faust;Da steh ich nun, ich armer Tor, und bin so klug als wie zuvor.;Werd ich zum Augenblicke sagen: Verweile doch, du bist so schön.
84;Das Alter;Das Alter ist ein höflich Mann:"|"Einmal übers andre klopft er an,;Aber nun sagt niemand: Herein!"|"Und vor der Türe will er nicht sein."|"Da klinkt er auf, tritt ein so schnell,"|"Und nun heißts, er sei ein grober Gesell.
85;Ins Weite;Das geht so fröhlich"|"Ins Allgemeine!"|"Ist leicht und selig,"|"Als wärs auch reine."|"Sie wissen gar nichts"|"Von stillen Riffen,;Und wie sie schiffen,"|"Die lieben Heitern,"|"Sie werden wie gar nichts"|"Zusammen scheitern.
86;Aphorismus;dass ich erkenne, was die Welt Im Innersten zusammenhält.;Der Scharfsinn verlässt geistreiche Männer am wenigsten, wenn sie unrecht haben.
87;Nativität;Der Deutsche ist gelehrt,"|"Wenn er sein Deutsch versteht"|"Doch bleib ihm unverwehrt,"|"Wenn er nach außen geht.;Er komme dann zurück,"|"Gewiss um viel gelehrter"|"Doch ists ein großes Glück,"|"Wenn nicht um viel verkehrter.
88;Elegisch;Der Undank ist immer eine Art Schwäche. Ich habe nie gesehen, dass tüchtige Menschen undankbar gewesen wären.;Und wenn der Mensch in seiner Qual verstummt,"|"Gab mir ein Gott zu sagen, was ich leide.
89;Das Deutsche Reich;Deutschland"|" aber wo liegt es"|" Ich weiß das Land nicht zu finden,"|"Wo das gelehrte beginnt, hört das politische auf.;Was das entsetzlichste sei von allen entsetzlichen Dingen?"|"Ein Pedant, den es jückt, locker und lose zu sein.
90;Widerwärtiges;Dichter und Liebende schenken sich selbst, doch Speise voll Ekel!"|"Dringt die gemeine Natur sich zum Genusse dir auf!;Wo Parteien entstehn, hält jeder sich hüben und drüben,"|"Viele Jahre vergehn, eh sie die Mitte vereint.
91;Aphorismus;Die Sorge geziemt dem Alter, damit die Jugend eine zeitlang sorglos sein könne.;Die geistlichen Herren haben immer die schmackhaftesten, die süßesten Besitztümer.
92;Ballade;Du kannst zwar heut"|"Und manche Zeit"|"Dem Feinde viel erlauben."|"Die Flamme reinigt sich vom Rauch:"|"So reinig unsern Glauben!;Verteilt euch, wackre Männer, hier"|"Durch dieses ganze Waldrevier,"|"Und wachet hier im stillen,"|"Wenn sie die Pflicht erfüllen.
93;Faust;Dummes Zeug kann man viel reden"|"Kann es auch schreiben."|"Wird weder Leib noch Seele töten."|"Es wird alles beim Alten bleiben.;Dummes aber vors Auge gestellt"|"Hat ein magisches Recht."|"Weil es die Sinne gefesselt hält,"|"bleibt der Geist ein Knecht.
94;Rätsel;Ein Bruder ists von vielen Brüdern,"|"In allem ihnen völlig gleich,"|"Ein nötig Glied von vielen Gliedern"|"In eines großen Vaters Reich,;Jedoch erblickt man ihn nur selten,"|"Fast wie ein eingeschobnes Kind:"|"Die andern lassen ihn nur gelten"|"Da, wo sie unvermögend sind.
95;Totalität;Ein Kavalier von Kopf und Herz"|"Ist überall willkommen,;Er hat mit feinem Witz und Scherz"|"Manch Weibchen eingenommen:"|"Doch wenns ihm fehlt an Faust und Kraft,"|"Wer mag ihn dann beschützen?"|"Und wenn er keinen Hintern hat,"|"Wie mag der Edle sitzen?
96;Ballade;Ein Veilchen auf der Wiese stand"|"Gebückt in sich und unbekannt"|"Es war ein herzigs Veilchen.;Da kam eine junge Schäferin,"|"Mit leichtem Schritt und munterm Sinn,"|"Daher, daher,"|"Die Wiese her, und sang.
97;Rätsel;Ein Werkzeug ist es, alle Tage nötig,"|"Den Männern weniger, den Frauen viel,"|"Zum treusten Dienste gar gelind erbötig,"|"Im einen vielfach, spitz und scharf."|"Sein Spiel gern wiederholt, wobei wir uns "|"bescheiden:;Von außen glatt, wenn wir von innen leiden."|"Doch Spiel und Schmuck erquickt uns nur aufs neue,"|"Erteilte Lieb ihm erst gerechte Weihe.
98;Wissenschaft;Einem ist sie die hohe, die himmlische Göttin, dem andern"|"Eine tüchtige Kuh, die ihn mit Butter versorgt.;Eine große Epoche hat das Jahrhundert geboren,"|"Aber der große Moment findet ein kleines Geschlecht.
99;Das philosophische Gespräch;Einer, das höret man wohl, spricht nach dem andern, doch keiner"|"Mit dem andern,;wer nennt zwei Monologen Gespräch?
100;Faust;Es irrt der Mensch, solang er strebt.;Zwar weiß ich viel, doch möcht ich alles wissen.
101;Gedicht;Es schlug mein Herz. Geschwind, zu Pferde!"|"Und fort, wild wie ein Held zur Schlacht.;Der Abend wiegte schon die Erde,"|"Und an den Bergen hing die Nacht.
102;Ballade;Es war ein König in Thule"|"Gar treu bis an das Grab,"|"Dem sterbend seine Buhle"|"Einen goldnen Becher gab.;Es ging ihm nichts darüber,"|"Er leert ihn jeden Schmaus,"|"Die Augen gingen ihm über,"|"Sooft er trank daraus.
103;Gedichte;Gedichte sind gemalte Fensterscheiben!"|"Sieht man vom Markt in die Kirche hinein,"|"Da ist alles dunkel und düster,"|"Und so siehts auch der Herr Philister:;Der mag denn wohl verdrießlich sein"|"Und lebenslang verdrießlich bleiben."|"Kommt aber nur einmal herein,"|"Begrüßt die heilige Kapelle"|"Da ists auf einmal farbig helle,"|"Geschicht und Zierat glänzt in Schnelle,"|"Bedeutend wirkt ein edler Schein.
104;Aphorismus;Gefühl ist alles. Name ist Schall und Rauch.;Alles ist einfacher, als man denken kann, und zugleich verschränkter, als zu begreifen ist.
105;Ballade;Gegrüßet seid mir, edle Herrn,"|"Gegrüßt ihr, schöne Damen!;Welch reicher Himmel! Stern bei Stern!"|"Wer kennet ihre Namen"|"
106;Nett und niedlich;Hast du das Mädchen gesehn"|"Flüchtig vorübergehn?"|"Wollt, sie wär meine Braut!"|"Jawohl! die Blonde, die Falbe!"|"Sie fitticht so zierlich wie die Schwalbe,"|"Die ihr Nest baut.;Du bist mein und bist so zierlich,"|"Du bist mein und so manierlich,"|"Aber etwas fehlt dir noch:"|"Küssest mit so spitzen Lippen,"|"Wie die Tauben Wasser nippen"|"Allzu zierlich bist du doch.
107;Irrtum;Hundertmal werd ichs euch sagen und tausendmal: Irrtum ist Irrtum!"|"Ob ihn der größte Mann, ob ihn der kleinste beging.;Liegt der Irrtum nur erst, wie ein Grundstein, unten im Boden,"|"Immer baut man darauf, nimmermehr kommt er an Tag.
108;Aphorismus;Ich habe mich so lange ums Allgemeine bemüht, bis ich einsehen lernte, was vorzügliche Menschen im Besondern leisten.;Ich hasse die Leute, die für nichts Bewunderung empfinden"|"ich habe Zeit meines Lebens immer alles bewundert.
109;Aphorismus;Ich kann niemandem verdenken, dass er sich für seinen eigenen Nächsten hält.;Wo wir trinken, wo wir lieben, da ist reiche, freie Welt.
110;Aphorismus;Ich kann sie kaum erwarten,"|" Die erste Blum im Garten,"|" Die erste blüht am Baum.;Sie grüßen meine Lieder,"|" Und kommt der Winter wieder,"|" Sing ich noch jenen Traum.
111;Aphorismus;Ich kehre in mich selbst zurück und finde eine Welt!;Fast alles ist leichter begonnen als beendet.
112;Ballade;Ich singe, wie der Vogel singt,"|"Der in den Zweigen wohnet,;Das Lied, das aus der Kehle dringt,"|"Ist Lohn, der reichlich lohnet.
113;Genug;Immer niedlich, immer heiter,"|"Immer lieblich! und so weiter,"|"Stets natürlich, aber klug,;Nun, das, dächt ich, wär genug.
114;Für Sie;In deinem Liede walten"|"Gar manche schöne Namen!"|"Sind mancherlei Gestalten,"|"Doch nur ein Rahmen?"|"Nun aber die Schöne,"|"Die dich am Herzen hegte.;Jede kennt die Töne,"|"Die sie erregte.
115;Klarheit;In dem jungen Lebenslauf"|"Wars ein Käthchen."|"Welche jetzt den Tag versüßt?"|"Sags mit Klarheit."|"Seht nur hin, wie sie mich grüßt.;Es ist die Wahrheit!?
116;Rechtsfrage;Jahrelang schon bedien ich mich meiner Nase zum Riechen,"|"Hab ich denn wirklich an sie auch ein erweisliches Recht?;Jambe nennt man das Tier mit einem kurzen und langen"|"Fuß, und so nennst du mit Recht Jamben das hinkende Werk.
117;Aphorismus;Je näher wir der Natur sind, desto näher fühlen wir uns der Gottheit.;Die Hoffnung hilft uns leben.
118;Aphorismus;Jeder Zustand hat seine Beschwerlichkeit, der beschränkte sowohl als der losgebundene.;Mir kommt kein Besitz ganz rechtmäßig, ganz rein vor, als der dem Staate seinen schuldigen Teil abträgt.
119;Den Guten;Lasst euch einen Gott begeisten,"|"Euch beschränket nur mein Sagen."|"Was ihr könnt, ihr werdets leisten,"|"Aber müsst mich nur nicht fragen.;Lies uns nach Laune, nach Lust, in trüben, in fröhlichen Stunden,"|"Wie uns der gute Geist, wie uns der böse gezeugt.
120;Aphorismus;Man kann auf dem rechten Weg irren und auf dem falschen recht gehen.;Ich glaube, der Mensch träumt nur, damit er nicht aufhöre zu sehen.
